,MONTH,AIRLINE,AVG_DELAY,AIRLINE_NAME
0,1,AA,23.70154265925071,American Airlines Inc.
1,2,AA,20.11596214511041,American Airlines Inc.
2,3,AA,22.572964669738862,American Airlines Inc.
3,4,AA,24.83707350583925,American Airlines Inc.
4,5,AA,24.410119531159335,American Airlines Inc.
5,6,AA,27.52054654838381,American Airlines Inc.
6,7,AA,23.144121447028425,American Airlines Inc.
7,8,AA,20.667704872646734,American Airlines Inc.
8,9,AA,17.49454040103236,American Airlines Inc.
9,10,AA,18.899891934374693,American Airlines Inc.
10,11,AA,19.134642604387828,American Airlines Inc.
11,12,AA,20.021155580217798,American Airlines Inc.
12,1,AS,20.869520371325425,Alaska Airlines Inc.
13,2,AS,22.557506053268764,Alaska Airlines Inc.
14,3,AS,20.032994923857867,Alaska Airlines Inc.
15,4,AS,16.536602700781806,Alaska Airlines Inc.
16,5,AS,13.854934601664684,Alaska Airlines Inc.
17,6,AS,18.298946200776484,Alaska Airlines Inc.
18,7,AS,17.25253991291727,Alaska Airlines Inc.
19,8,AS,14.830540037243948,Alaska Airlines Inc.
20,9,AS,12.86598596043395,Alaska Airlines Inc.
21,10,AS,14.158980582524272,Alaska Airlines Inc.
22,11,AS,17.10153846153846,Alaska Airlines Inc.
23,12,AS,16.313319878910193,Alaska Airlines Inc.
24,1,B6,21.933050161812297,JetBlue Airways
25,2,B6,26.32710422364023,JetBlue Airways
26,3,B6,26.73162830349531,JetBlue Airways
27,4,B6,22.696085582300025,JetBlue Airways
28,5,B6,20.78085490668272,JetBlue Airways
29,6,B6,24.80895716140199,JetBlue Airways
30,7,B6,24.108062709966404,JetBlue Airways
31,8,B6,26.998298162014976,JetBlue Airways
32,9,B6,19.14011189491608,JetBlue Airways
33,10,B6,17.9280199252802,JetBlue Airways
34,11,B6,18.42913719943423,JetBlue Airways
35,12,B6,29.02766393442623,JetBlue Airways
36,1,DL,14.708771072562913,Delta Air Lines Inc.
37,2,DL,19.154324184360433,Delta Air Lines Inc.
38,3,DL,16.787463271302645,Delta Air Lines Inc.
39,4,DL,16.51469790649745,Delta Air Lines Inc.
40,5,DL,20.65112262521589,Delta Air Lines Inc.
41,6,DL,20.88364046634073,Delta Air Lines Inc.
42,7,DL,18.80735650767987,Delta Air Lines Inc.
43,8,DL,18.807257222415593,Delta Air Lines Inc.
44,9,DL,13.942640047675804,Delta Air Lines Inc.
45,10,DL,13.045740520319674,Delta Air Lines Inc.
46,11,DL,14.669902912621358,Delta Air Lines Inc.
47,12,DL,22.600550230741923,Delta Air Lines Inc.
48,1,EV,23.117095805659176,Atlantic Southeast Airlines
49,2,EV,22.98074369189907,Atlantic Southeast Airlines
50,3,EV,24.066937311178247,Atlantic Southeast Airlines
51,4,EV,21.135898628225995,Atlantic Southeast Airlines
52,5,EV,26.72769325657895,Atlantic Southeast Airlines
53,6,EV,27.036868202175302,Atlantic Southeast Airlines
54,7,EV,24.654372150849564,Atlantic Southeast Airlines
55,8,EV,24.657271435338703,Atlantic Southeast Airlines
56,9,EV,19.94061433447099,Atlantic Southeast Airlines
57,10,EV,21.08364395407783,Atlantic Southeast Airlines
58,11,EV,23.322958270210716,Atlantic Southeast Airlines
59,12,EV,26.990844476569087,Atlantic Southeast Airlines
60,1,F9,30.9721059972106,Frontier Airlines Inc.
61,2,F9,32.22999120492524,Frontier Airlines Inc.
62,3,F9,28.025106382978723,Frontier Airlines Inc.
63,4,F9,21.733752620545072,Frontier Airlines Inc.
64,5,F9,23.60710944808232,Frontier Airlines Inc.
65,6,F9,30.44426494345719,Frontier Airlines Inc.
66,7,F9,24.70273851590106,Frontier Airlines Inc.
67,8,F9,22.02077638053581,Frontier Airlines Inc.
68,9,F9,29.66819012797075,Frontier Airlines Inc.
69,10,F9,19.67144060657119,Frontier Airlines Inc.
70,11,F9,23.15228426395939,Frontier Airlines Inc.
71,12,F9,32.829445308449976,Frontier Airlines Inc.
72,1,HA,16.842397336293008,Hawaiian Airlines Inc.
73,2,HA,15.039177277179236,Hawaiian Airlines Inc.
74,3,HA,12.055128205128206,Hawaiian Airlines Inc.
75,4,HA,8.102088167053365,Hawaiian Airlines Inc.
76,5,HA,13.346153846153847,Hawaiian Airlines Inc.
77,6,HA,8.106969205834684,Hawaiian Airlines Inc.
78,7,HA,13.836129032258064,Hawaiian Airlines Inc.
79,8,HA,24.06454248366013,Hawaiian Airlines Inc.
80,9,HA,17.251319957761353,Hawaiian Airlines Inc.
81,10,HA,11.41814946619217,Hawaiian Airlines Inc.
82,11,HA,9.432203389830509,Hawaiian Airlines Inc.
83,12,HA,10.06221198156682,Hawaiian Airlines Inc.
84,1,MQ,25.981257239128144,American Eagle Airlines Inc.
85,2,MQ,26.320927536231885,American Eagle Airlines Inc.
86,3,MQ,23.02335912869017,American Eagle Airlines Inc.
87,4,MQ,20.47969286724591,American Eagle Airlines Inc.
88,5,MQ,21.197001249479385,American Eagle Airlines Inc.
89,6,MQ,22.330734243014945,American Eagle Airlines Inc.
90,7,MQ,23.577006980802793,American Eagle Airlines Inc.
91,8,MQ,23.035641025641027,American Eagle Airlines Inc.
92,9,MQ,19.987689060851213,American Eagle Airlines Inc.
93,10,MQ,22.636363636363637,American Eagle Airlines Inc.
94,11,MQ,24.316334072431633,American Eagle Airlines Inc.
95,12,MQ,21.65610438024231,American Eagle Airlines Inc.
96,1,NK,10.51918158567775,Spirit Air Lines
97,2,NK,20.966874512860482,Spirit Air Lines
98,3,NK,21.122776572668112,Spirit Air Lines
99,4,NK,16.8026712623869,Spirit Air Lines
100,5,NK,27.692434210526315,Spirit Air Lines
101,6,NK,32.15885947046843,Spirit Air Lines
102,7,NK,22.43582282573553,Spirit Air Lines
103,8,NK,19.85168664622247,Spirit Air Lines
104,9,NK,19.046532438478746,Spirit Air Lines
105,10,NK,4.417166589755422,Spirit Air Lines
106,11,NK,13.67584480600751,Spirit Air Lines
107,12,NK,21.165444692381257,Spirit Air Lines
108,1,OO,30.728841919859093,Skywest Airlines Inc.
109,2,OO,29.114091921441588,Skywest Airlines Inc.
110,3,OO,25.3136,Skywest Airlines Inc.
111,4,OO,25.720427236315086,Skywest Airlines Inc.
112,5,OO,23.92396875762753,Skywest Airlines Inc.
113,6,OO,27.50750957102189,Skywest Airlines Inc.
114,7,OO,27.93489099618731,Skywest Airlines Inc.
115,8,OO,25.090544294680523,Skywest Airlines Inc.
116,9,OO,22.994672754946727,Skywest Airlines Inc.
117,10,OO,22.63169777242625,Skywest Airlines Inc.
118,11,OO,25.06806991629739,Skywest Airlines Inc.
119,12,OO,28.626241134751773,Skywest Airlines Inc.
120,1,UA,19.91179621473634,United Air Lines Inc.
121,2,UA,18.009892827699918,United Air Lines Inc.
122,3,UA,22.12221210741921,United Air Lines Inc.
123,4,UA,24.365150385284615,United Air Lines Inc.
124,5,UA,25.418846036430242,United Air Lines Inc.
125,6,UA,31.15428047145176,United Air Lines Inc.
126,7,UA,30.11288805268109,United Air Lines Inc.
127,8,UA,25.754105539741623,United Air Lines Inc.
128,9,UA,22.67754077791719,United Air Lines Inc.
129,10,UA,24.773626373626374,United Air Lines Inc.
130,11,UA,28.38944099378882,United Air Lines Inc.
131,12,UA,33.465033356337706,United Air Lines Inc.
132,1,US,13.47509133178346,US Airways Inc.
133,2,US,15.788408883480377,US Airways Inc.
134,3,US,14.593469001419782,US Airways Inc.
135,4,US,11.796722454672246,US Airways Inc.
136,5,US,14.11853054597118,US Airways Inc.
137,6,US,15.592576607682348,US Airways Inc.
138,1,VX,16.05952380952381,Virgin America
139,2,VX,25.433849821215734,Virgin America
140,3,VX,22.826498422712934,Virgin America
141,4,VX,18.28030303030303,Virgin America
142,5,VX,20.22532894736842,Virgin America
143,6,VX,20.402217741935484,Virgin America
144,7,VX,19.716965742251222,Virgin America
145,8,VX,22.301025163094128,Virgin America
146,9,VX,14.570596797671033,Virgin America
147,10,VX,24.31030577576444,Virgin America
148,11,VX,17.734545454545454,Virgin America
149,12,VX,30.429778933680105,Virgin America
150,1,WN,24.925421222204616,Southwest Airlines Co.
151,2,WN,23.379210779595766,Southwest Airlines Co.
152,3,WN,25.604285787874105,Southwest Airlines Co.
153,4,WN,24.95751121682253,Southwest Airlines Co.
154,5,WN,28.451538603279896,Southwest Airlines Co.
155,6,WN,29.279772202998846,Southwest Airlines Co.
156,7,WN,30.60469551948953,Southwest Airlines Co.
157,8,WN,28.464737706501786,Southwest Airlines Co.
158,9,WN,22.394500084875233,Southwest Airlines Co.
159,10,WN,23.294589821801253,Southwest Airlines Co.
160,11,WN,22.363091560607934,Southwest Airlines Co.
161,12,WN,28.493365907080577,Southwest Airlines Co.
